longname,shortname,year,chapid
"Johnson, F., K.Haddad, A.Rahman, and J.Green (2012), Application of Bayesian GLSR to estimate sub daily rainfall parameters for the IFD Revision Project. Hydrology and Water Resources Symposium 2012, Sydney. Engineers Australia.",Johnson et al,2012,b1_c4_r14
"Lenderink, G. and E. van Meijgaard (2008), Increase in hourly precipitation extremes beyond expectations from temperature changes, Nature Geoscience, 1, pp.511-514",Lenderink and van Meijgaard,2008,b1_c4_r15
"McInnes, K.L., Hubbert, J.D, Macadam, I. and O'Grady, J.G. (2007), Assessing the Impact of Climate Change on Storm Surges in Southern Australia, In Oxley, L. and Kulasiri, D. (eds) MODSIM 2007 International Congress on Modelling and Simulation. Modelling and Simulation Society of Australia and New Zealand, ISBN : 978-0-9758400-4-7.",McInnes et al,2007,b1_c4_r16
"Milly, P.C.D., Betancourt, J., Falkenmark, M., Hirsch, R.M., bigniew, W.Z., Kundzewicz, Z.W., Lettenmaier, D.P. and Stouffer, R.J. (2008), Stationarity is Dead: Whither Water Management? Science, 219, pp.573-574",Milly et al,2008,b1_c4_r17
"Malleron, N., Zaoui, F., Goutal, N., and Morel, T. (2011), On the use of a high-performance framework for efficient model coupling in hydroinformatics. Environmental Modelling & Software, Vol. 26, No. 12, pp.1747-1758.",Malleron et al,2011,b1_c4_r18
"Marauan, D.F., Wetterhall, A.M., Ireson, R.E., Chandler, E.J., Kendon, M., Widmann, S., Brienen, H.W., Rust, T., Sauter, M., Theme, V.K.C., Venema, K.P., Chun, C.M., Goodess, R.G., Jones, C., Onof, M., Vrac, I. and Thiele-Eich (2010), Precipitation downscaling under climate change: recent developments to bridge the gap between dynamical models and the end user, Reviews of Geophysics, 48.",Marauan et al,2010,b1_c4_r19
"Bates, B. C., Z. W. Kundzewicz, S. Wu, and J. P. Palutikof (2008): Climate Change and Water. Technical Paper of the Intergovernmental Panel on Climate Change, Rep., 210 pp, IPCC Secretariat, Geneva.",Bates et al,2008,b1_c4_r2
"Mehrotra, R., and Sharma, A. (2010), Development and Application of a Multisite Rainfall Stochastic Downscaling Framework for Climate Change Impact Assessment, Water Resources Research, 46.",Mehrotra and Sharma,2010,b1_c4_r20
Trenberth KE (2011): Changes in precipitation with climate change. Clim Res 47:123-138.,Trenberth,2011,b1_c4_r22
"Vathananukij, H and Malaikrisanachalee, S. (2008), Hydroinformatic system (implementation in Thailand), Water SA, Vol. 34, No. 6, pp.725-730",Vathananukij and Malaikrisanachalee,2008,b1_c4_r23
"Westra, S. (2011), Implications of Climate Change on Flood Estimation. Discussion Paper for the Australian Rainfall and Runoff Climate Change Workshop No 2. 5th November 2010, UNSW.",Westra,2011,b1_c4_r24
"Westra, S., L.V. Alexander, F.W. Zwiers (2013): Global increasing trends in annual maximum daily precipitation. Journal of Climate, in press, doi:10.1175/JCLI-D-12-00502.1",Westra et al,2013,b1_c4_r25
"White, C.J., Grose, M.R., Corney, S.P., Bennett, J.C., Holz, G.K., Sanabria, L.A., McInnes, K.L., Cechet, R.P., Gaynor, S.M. and Bindoff, N.L. (2010), Climate Futures for Tasmania: extreme events technical report, Antarctic Climate and Ecosystems Cooperative Research Centre, Hobart, Tasmania.",White et al,2010,b1_c4_r26
"Abbott, M.B. (1991), Hydroinformatics - Information Technology and the Aquatic Environment, Avebury Technical, Aldershot, UK.",Abbott,1991,b1_c4_r27
"ANZLIC. (2008), ICSM Guidelines for Digital Elevation Data Version 1, August 12",ANZLIC,2008,b1_c4_r28
"Ball, J.E. and Cordery, I. (2000), Information and hydrology, Proc. Hydro 2000 - Hydrology and Water Resources Symposium, Perth, WA, Australia, pp.997-1001.",Ball and Cordery,2000,b1_c4_r29
"Church, J.A., Hunter, J.R., McInnes, K.L. and White, N.J. (2006), Sea-level rise around the Australian coastline and the changing frequency of extreme sea-level events. Aust. Met. Mag. 55 (2006), pp.253-260",Church et al,2006,b1_c4_r3
"Beynon-Davies, P. (2002), Information Systems: An introduction to informatics in organisations, Basingstoke, UK: Palgrave Macmillan. ISBN 0-333-96390-3.",Beynon-Davies,2002,b1_c4_r30
"Bureau of Meteorology. (2015), Australian Hydrological Geospatial Fabric (Geofabric). [ONLINE] Available at: http://www.bom.gov.au/water/geofabric/index.shtml. [Accessed 18 August 15].",Bureau of Meteorology,2015,b1_c4_r31
"Cordery, I., Weeks, B., Loy, A., Daniell, T., Knee, R., Minchin, S. and Wilson, D. (2006), 'Water Resources Data Collection and Water Accounting', Australian Journal of Water Resources, Vol 11, No 2, pp.257 - 266.",Cordery et al,2006,b1_c4_r32
"Fenton, J.D. and Keller, R.J. (2001), the Calculation of Streamflow from Measurements of Stage, Technical Report Report 01/6, Cooperative Research Centre for Catchment Hydrology, Monash University, Clayton, Vic, Australia.",Fenton and Keller,2001,b1_c4_r33
"Herschy, R.W. (1995), Streamflow Measurement, E & FN Spon, Chapman & Hall, London, UK. Huber and Dickinson, (1988)",Herschy,1995,b1_c4_r34
"IPCC (Intergovernmental Panel on Climate Change). (2001), Climate Change 2001: Synthesis Report (ed. by R.T. Watson). Contribution of Working Groups I, II and III to the Third Assessment Report of the Intergovernmental Panel on Climate Change, Cambridge University Press, Cambridge, UK.",IPCC,2001,b1_c4_r35
"Jones, D.A., Wang, W. and Fawcett, R. (2007), Climate Data for the Australian Water Availability Project: Final Milestone Report. National Climate Centre, Bureau of Meteorology, Melbourne.",Jones et al,2007,b1_c4_r36
"Kundzewicz Zbigniew, W. (2004), Editorial Hydrological Sciences-Journal-des Sciences Hydrologiques, 49(1) February 2004, pp.3-6.",Kundzewicz,2004,b1_c4_r37
"Meynett, A.E. and van Zuylen, H.J. (1994), On the concept of hydroinformatics, Proc. Hydroinformatics '94, Delft, The Netherlands, AA Balkema, pp.19-24.",Meynett and van Zuylen,1994,b1_c4_r38
"McKenzie, N.J., Jacquie, D.W, Ashton, L.J., and Cresswell, H.P. (2000), Estimation of soil properties using the atlas of Australian soils, CSRIO Land and Water, Canberra ACT.",McKenzie et al,2000,b1_c4_r39
"Corney, S.P., Katzfey, J.J., McGregor, J.L., Grose, M.R., Bennett, J.C., White, C.J., Holz, G.K., Gaynor, S.M. and Bindoff, N.L. (2010), Climate Futures for Tasmania: climate modelling technical report, Antarctic Climate & Ecosystems Cooperative Research Centre, Hobart, Tasmania.",Corney et al,2010,b1_c4_r4
"National Research Council (2004), Assessing the National Streamflow Information Program, National Academy of Sciences, US.",National Research Council,2004,b1_c4_r40
"Stewardson, M.J. and Howes, E.A. (2002), The number of channel cross-sections required for representing longitudinal hydraulic variability of stream reaches. Proceedings of the 27th Hydrology and Water Resources Symposium. Engineers Australia pp.21-25",Stewardson and Howes,2002,b1_c4_r41
"Toppe, R. (1987), Terrain models - A tool for natural hazard Mapping, Avalanche Formation, Movement and Effects, IAHS Publication Number 162, pp.629-638",Toppe,1987,b1_c4_r42
"Wain, A.T., Atkins, A.S. and McMahon, T.A. (1992), The Value of Benefits of Hydrologic Information, AWRAC Research Project P87/24, Centre for Applied Hydrology, University of Melbourne, p.59",Wain et al,1992,b1_c4_r43
"World Meteorological Organization (2010), Manual on Stream Gauging - Volume I - Fieldwork, WMO-No. 1044, Geneva, Switzerland, ISBN 978-92-63-11044-2",World Meteorological Organisation,2010,b1_c4_r44
"Raupach, M.R., Briggs, P.R., Haverd, V., King, E.A., Paget, M. and Trudinger, C.M. (2009), Australian Water Availability Project: CSIRO Marine and Atmospheric Research Component: Final Report for Phase 3, CAWCR Technical Report No. 013, July",Raupach et al,2009,b1_c4_r45
"Moya Quiroga, V., Mano, A., Asaoka, Y., Kure, S., Udo, K., & Mendoza, J. (2013). Snow glacier melt estimation in tropical Andean glaciers using artificial neural networks. Hydrology and Earth System Sciences, 17(4), 1265-1280.",Moya Quiroga et al,2013,b1_c4_r46
"Popescu, I., Jonoski, A., and Bhattacharya, B. (2012). Experiences from online and classroom education in hydroinformatics, Hydrol. Earth Syst. Sci., 16, 3935-3944, doi:10.5194/hess-16-3935-2012",Popescu et al,2012,b1_c4_r47
"ISO (International Standards Organisation). (2013). Guide: 18365:2013 Hydrometry. Selection, establishment and operation of a gauging station, International Standards Organisation.",ISO,2013,b1_c4_r48
"Rantz, S. E. (1982). Measurement and computation of stream flow. Volume 1: Measurement of stage and discharge; Volume 2: Computation of discharge. US Geological Survey water-supply paper, 2175, 631.",Rantz,1982,b1_c4_r49
"CSIRO (2012): Climate and water availability in south-eastern Australia: A synthesis of findings from Phase 2 of the South Eastern Australian Climate Initiative (SEACI), CSIRO, Australia, September 2012, 41 pp.",CSIRO,2012,b1_c4_r5
"Boyer, M. C. (1964) Streamflow measurement, Handbook of Applied Hydrology, Ed. V. T. Chow, Chapter 15, McGraw-Hill.",Boyer,1964,b1_c4_r50
"Simons, D. B. and Richardson, E. V. (1962) The effect of bed roughness on depth-discharge relations in alluvial channels, U.S. Geological Survey Water-Supply Paper 1498-E.",Simons and Richardson,1962,b1_c4_r51
"Hunter, J. (2009). Estimating sea-level extremes under conditions of uncertain sea-level rise, Climatic Change, Vol. 99,No. 3-4, 331-350.",Hunter,2009,b1_c4_r52
"Fenton, J. D. (2001), Rating curves: Part 1-Correction for surface slope. OR Fenton, J. D. (2001) Rating curves: Part 2-Representation and approximation.",Fenton,2001,b1_c4_r6
"Grose M.R., Barnes-Keoghan I., Corney S.P., White C.J., Holz G.K., Bennett J.B., Gaynor S.M. and Bindoff N.L. (2010), Climate Futures for Tasmania: general climate impacts technical report, Antarctic Climate & EcosystemsCooperative Research Centre, Hobart, Tasmania.",Grose et al,2010,b1_c4_r7
"Hardwick-Jones, R, S.Westra and A. Sharma (2010), Observed relationships between extreme sub-daily precipitation, surface temperature and relative humidity, Geophysical Research Letters, 37(L22805)",Hardwick-Jones et al,2010,b1_c4_r8
"Hanel, M. and T.A. Buishand (2010), On the value of hourly precipitation extremes in regional climate model simulations, Journal of Hydrology 393 (2010) 265-273",Hanel and Buishand,2010,b1_c4_r9
"AEMI (Australian Emergency Management Institute). (2013), Australian Emergency Management Handbook 7: Managing the Floodplain Best Practice in Flood Risk Management in Australia AEMI, Canberra.",AEMI,2013,b1_c5_r1
"Condon, L.C., Gangopadhyay, S. and Pruitt, T. (2014), Climate change and non-stationary flood risk for the Upper Truckee River Basin. Hydrological Earth System Sciences Discussions, 11, pp.5077-5114.",Condon et al,2014,b1_c5_r10
"DECC (NSW Department of Environment and Climate Change), (2007), Floodplain Risk Management Guideline, Residential Flood Damage, Sydney.",DECC,2007,b1_c5_r11
"Farber, S. and Bradley, D. (1996), Ecological Economics. USDA Forest Service, available at: http://www.fs.fed.us",Farber and Bradley,1996,b1_c5_r12
"HM Treasury and DEFRA (2009), Accounting for the effects of climate change: Supplementary Green Book Guidance.",HM Treasury and DEFRA,2009,b1_c5_r13
"ISO (International Standards Organisation). (2009), International Standard on Risk Management, ISO31000:2009, International Standards Organisation.",ISO,2009,b1_c5_r14
"ISO (International Standards Organisation). (2009), Guide 73:2009 Risk Management Vocabulary, International Standards Organisation.",ISO,2009,b1_c5_r15
"International Transport Forum. (2013), Understanding the value of transport infrastructure: Guidelines for macro-level measurement of spending and assets. Prepared for the OECD.",International Transport Forum,2013,b1_c5_r16
"Independent Pricing and Regulatory Tribunal. (2012), Review of prices for Sydney Water Corporation's water, sewerage, drainage and other services.",Independent Pricing and Regulatory Tribunal,2012,b1_c5_r17
"OEH (Office of Environment and Heritage). (2015), Floodplain Risk Management Guide Modelling the Interaction of Catchment Flooding and Oceanic Inundation in Coastal Waterways. Office of Environment and Heritage, 2015.",OEH,2015,b1_c5_r18
"NSW Government (2006), Risk Management Policy Framework for Dam Safety. NSW Dam Safety Council.",NSW Government,2006,b1_c5_r19
"AEMI  (Australian Emergency Management Institute). (2014)Technical flood risk management guideline: Flood emergency response classification of the floodplain, AEMI, Canberra.",AEMI,2014,b1_c5_r2
"Ng, M. and Vogel, R.M. (2010), Multivariate non-stationary stochastic streamflow models for two urban watersheds. Proc., Environmental and Water Resources Institute World Congress, ASCE, Reston, VA, pp.2550-2561.",Ng and Vogel,2010,b1_c5_r20
"Park, T., Kim, C. and Kim, H. (2014), Valuation of drainage infrastructure improvement under climate change using real options. Water Resource Management, 28, pp.445-457.",Park et al,2014,b1_c5_r21
"Philbert C. (2003), Discounting the Future. In: Internet Encyclopaedia of Ecological Economics, The International Society of Ecological Economics. Available at: http://www.ecologicaleconomics.org",Philbert,2003,b1_c5_r22
"Quiggin J. (1993), Discounting and Sustainability. Review of Marketing and Agricultural Economics 6(1), pp.161-64.",Quiggin,1993,b1_c5_r23
"Rootzen, H. and Katz, R. (2013), Design Life Level: Quantifying risk in a changing climate. Water Resources Research, 49, pp.5964-5972.",Rootzen and Katz,2013,b1_c5_r24
"Salas, J. and Obeysekera, J. (2014), Revisiting the concepts of return period and risk for nonstationary hydrologic extreme events. Journal of Hydologic Engineering. Vol 19, No. 3.",Salas and Obeysekera,2014,b1_c5_r25
"Short, M., Peirson, W., Peters, G. and Cox, R. (2012), Managing adaptation of urban water systems in a changing climate. Water Resources Management 26(7), pp.1953-1981",Short et al,2012,b1_c5_r26
"Smith, G.P., Davey, E.K., and Cox, R.J. (2014), Flood Hazard Water Research Laboratory Technical Report 2014/07. Prepared by the Water Research Laboratory. April",Smith et al,2014,b1_c5_r27
"Stern, N. (2006), The Economics of Climate Change - The Stern Review, Cabinet Office - HM Treasury, Cambridge University Press. Available at: http://webarchive.nationalarchives.gov.uk/+/http://www.hm-treasury.gov.uk/sternreview_index.htm",Stern,2006,b1_c5_r28
"Thomson, R., Drynan, L. and Veldema, A. (2015), Risk Assessment and Design Life, in Australian Rainfall and Runoff Revision (Project 20).",Thomson et al,2015,b1_c5_r29
"AEMI (Australian Emergency Management Institute). (2014), Technical flood risk management guideline: Flood hazard, AEMI, Canberra.",AEMI,2014,b1_c5_r3
"Thomson, R., Knee, P., Telford, T., Virivolomo, M. and Drynan, L. (2011), Climate Change Adaptation & Economics - A Case Study in the Solomon Islands, Coast and Ports Conference, Perth, Australia.",Thomson et al,2011,b1_c5_r30
"Thomson, R., Knee, P., Telford, T., Virivolomo, M. and Drynan, L. (2012), Incorporating Climate Change into Economic Analysis - A Case Study of Emergency Flood Repairs in the Solomon Islands, Practical Responses to Climate Change, Canberra, Australia.",Thomson et al,2012,b1_c5_r31
"Tonkin. (2009), Infrastructure Asset Useful Lives: SA Council's Current Practices. Prepared on behalf of the SA Local Government Association.",Tonkin,2009,b1_c5_r32
"United States Environmental Protection Authority (USEPA). (2014), Sustainable Infrastructure for Water and Wastewater",USEPA,2014,b1_c5_r33
"Vogel, R.M., Yaindl, C. and Walter, M. (2011), Nonstationarity: Flood magnification and recurrence reduction factors in the United States, J. Am. Water Resour. Assoc., 47, pp.464-474.",Vogel et al,2011,b1_c5_r34
"Woodward, M., Gouldby, B., Kapelan, Z., Khu, S. and Townend, I. (2011), Incorporating real options into flood risk management decision making. 14th annual international real options conference.",Woodward et al,2011,b1_c5_r35
